Document,turnoff,pest,loser,captive,worthless,cynic,traitor,distress,jerk,selfish,bastard,disappointment,insulting,unwanted,gloom,filth,dull,lazy,failure,untrustworthy,stress,prick,terrible,pollution,alone,inadequate,regret,bitterness,mess,irritating,garbage,annoying,irresponsible,stinky,unwelcome,phony,degenerate,heartbroken,reject,hesitation,sad,insecure,awkward,hypocrite,shame,anxiety,disaster,dropout,disgrace,scoundrel,grumpy,hardship,sloppy,creep,defect,slimy,embarrassed,overwhelmed,fraud,vermin,unforgivable,quitter,undesirable,burden,repulsive,slob,uninvited,menace,unemployed,maggot,liar,terrified,vagrant,incapable,emptiness,disgusting,outcast,gross,negligent,nauseous,parasite,hater,unfaithful,incompetent,unbearable,boring,inferior,rude,headache,copycat,tense,unlucky,idiot,fool,lunatic,miserable,pity,coward,immoral,dummy
stress,0.04,0.03,0.13,-0.01,0.04,0.08,0.07,0.38,0.11,0.09,-0.02,0.15,0.1,0.13,0.01,0.01,0.07,0.05,0.29,0.08,1,0.06,0.06,0.05,0.11,0.3,0.03,0.06,0.02,0.09,0,0.2,0.07,0.05,-0.02,0.07,0.12,-0.03,0.18,0.14,0.2,0.27,0.15,-0.03,0.11,0.57,0.11,0.11,0.08,0.01,0.03,0.07,0.06,0.01,0.18,0.04,0.12,0.12,0.02,0.02,-0.04,0,0.14,0.12,0.04,-0.04,-0.03,0.05,0.1,-0.01,-0.03,0.04,-0.04,0.08,0.02,0,0.03,0.03,0.01,0.14,0.08,0,0.15,0.08,0.04,0.16,0.13,0.05,0.45,0.04,0.19,-0.03,0.09,0.01,0,0.13,0.06,-0.02,0,0.03
prick,0.06,0.01,0.05,0.19,0.1,0.19,0.18,0.14,0.24,0.12,0.17,0.15,0.1,0.03,0.18,0.07,0.34,0.14,0.06,-0.06,0.06,1,0.24,-0.01,0.09,0.04,0.14,0.13,0.13,-0.01,0.05,0.07,0.07,0.03,0.04,0.06,0.11,0.06,0.02,0.12,0.13,0.12,0.09,0.05,0.16,0.07,0.18,0.01,0.1,0.15,0.11,0.05,0,0.1,0.02,0.08,0.05,0.16,0.06,0.17,0.04,-0.01,0.02,0.18,0.01,0.04,-0.01,0.17,0.06,0.1,0,0.19,0.14,0.05,0.16,0.04,0.16,0.02,0,0.02,0.06,-0.01,0.06,0.11,0.06,0.22,0.1,0.18,0,0.06,0.03,0.02,0.13,0.15,-0.02,0.17,0.14,0.13,0.03,0.04
terrible,0.04,0.13,0.14,0.35,0.24,0.19,0.28,0.31,0.22,0.31,0.35,0.43,0.28,0.09,0.39,0.25,0.28,0.42,0.18,0.19,0.06,0.24,1,0.01,0.53,0.05,0.34,0.32,0.32,0.11,0.1,0.26,0.1,0.05,0.13,0.2,0.14,0.23,0.08,0.28,0.44,0.15,0.2,0.15,0.49,0.17,0.43,0.05,0.31,0.18,0.19,0.24,0.12,0.25,0.06,0.21,0.36,0.36,0.05,0.32,0.1,0.1,-0.01,0.28,0.05,0.12,0.14,0.31,0.13,0.13,0.35,0.54,0.14,0.16,0.26,0.31,0.22,0.05,0.05,0.14,0.06,0.15,0.13,0.09,0.35,0.29,0.13,0.39,0.19,0.12,0.08,0.32,0.26,0.47,0.21,0.59,0.47,0.39,0.12,0.21
pollution,0,0.11,-0.01,0.08,0.1,-0.02,0.01,0.01,-0.04,0.01,-0.01,0.06,-0.03,0.49,0,0.23,0,0.02,0.07,-0.02,0.05,-0.01,0.01,1,0.05,0.16,0.03,0.03,0.25,0.44,0.76,0.15,0.02,0,0,0.01,0.01,-0.01,0.05,-0.01,0.01,0.02,0.03,-0.01,0,0.01,0.06,0.01,0.06,0,0,0.03,0.02,0.04,0.03,0.11,0.03,0.05,0.02,0.07,0.03,0.02,0.17,0.06,0,0.05,0.01,0.05,0.02,-0.02,-0.01,0.01,0.04,0,0.01,0,0.02,0.01,0.02,-0.02,-0.05,0.01,-0.01,0.03,0.05,-0.03,-0.01,0.01,-0.01,0.01,-0.01,0,0.02,0.01,0.01,-0.01,0.02,0.01,0.01,-0.02
alone,0.05,0.05,0.17,0.32,0.19,0.13,0.2,0.33,0.21,0.35,0.28,0.45,0.24,0.19,0.41,0.23,0.36,0.38,0.23,0.18,0.11,0.09,0.53,0.05,1,0.17,0.36,0.3,0.29,0.12,0.13,0.24,0.13,0.22,0.16,0.17,0.12,0.13,0.17,0.39,0.49,0.23,0.36,0.15,0.42,0.18,0.28,0.03,0.3,0.19,0.17,0.24,0.19,0.32,0.12,0.14,0.43,0.26,0.08,0.17,0.16,0.11,0.15,0.27,0.11,0.15,0.22,0.18,0.06,0.08,0.32,0.49,0.17,0.2,0.34,0.25,0.28,0.07,0.13,0.13,0.04,0.17,0.09,0.13,0.37,0.33,0.19,0.37,0.2,0.01,0.08,0.32,0.41,0.47,0.34,0.51,0.46,0.37,0.14,0.21
inadequate,0.03,0.03,0.15,0.15,0.19,0.03,0.11,0.32,0.06,0.19,0.01,0.23,0.09,0.33,0.08,0.14,0.11,0.11,0.49,0.05,0.3,0.04,0.05,0.16,0.17,1,0.14,0.13,0.08,0.19,0.11,0.18,0.2,0.05,0.15,0.13,0.21,0,0.28,0.18,0.09,0.31,0.17,0,0.17,0.45,0.22,0.38,0.13,0.06,0.01,0.3,0.06,0.12,0.28,0.05,0.19,0.24,0.13,0.15,0.08,0.04,0.31,0.3,0.02,0.08,0.02,0.25,0.29,0.03,-0.01,0.07,0.07,0.25,0.1,0.05,0.09,0.21,0.1,0.11,0.08,-0.04,0.15,0.28,0.14,0.13,0.21,0.1,0.2,0,0.03,0.02,0.16,0.05,0.13,0.13,0.15,0.02,0.1,0.05
regret,0.11,0.06,0.11,0.31,0.27,0.32,0.25,0.31,0.23,0.36,0.16,0.44,0.34,0.07,0.35,0.21,0.3,0.24,0.24,0.15,0.03,0.14,0.34,0.03,0.36,0.14,1,0.44,0.19,0.08,0.05,0.15,0.22,0.11,0.08,0.19,0.18,0.11,0.18,0.41,0.26,0.14,0.3,0.17,0.47,0.16,0.27,0.03,0.39,0.36,0.08,0.13,0.15,0.15,0.07,0.05,0.36,0.18,0.07,0.14,0.16,0.23,0.14,0.23,0.03,0.06,0.06,0.29,0.08,0.03,0.17,0.26,0.19,0.29,0.19,0.22,0.18,0.05,0.07,0.04,-0.02,0.08,0.05,0.17,0.3,0.09,0.23,0.34,0.07,0.04,0.1,0.19,0.34,0.33,0.31,0.43,0.49,0.31,0.22,0.19
bitterness,0.01,0.01,0.04,0.31,0.2,0.23,0.25,0.32,0.12,0.19,0.19,0.3,0.24,0.03,0.3,0.22,0.15,0.17,0.26,0.11,0.06,0.13,0.32,0.03,0.3,0.13,0.44,1,0.11,0.06,0.04,0.1,0.28,0.04,0.1,0.13,0.09,0.1,0.18,0.23,0.2,0.16,0.19,0.05,0.29,0.18,0.35,0.02,0.27,0.17,0.05,0.2,0.13,0.13,0.07,0.01,0.19,0.29,0.07,0.22,0.09,0.17,0.03,0.28,0.05,0.04,0.1,0.31,0.17,0.06,0.15,0.19,0.13,0.18,0.21,0.24,0.14,0.05,0.06,0.06,0.02,0.05,0.04,0.19,0.22,0.1,0.22,0.25,0.08,0.01,0.07,0.22,0.25,0.28,0.14,0.26,0.26,0.19,0.2,0.09
mess,0.09,0.07,0.1,0.05,0.06,-0.01,0.16,0.14,0.2,0.07,0.36,0.26,0.04,0.19,0.15,0.26,0.22,0.24,0.13,0.08,0.02,0.13,0.32,0.25,0.29,0.08,0.19,0.11,1,0.22,0.38,0.2,0.03,0.08,0.15,0.28,0.1,0.17,0.03,0.16,0.36,0.08,0.1,0.15,0.24,0.09,0.11,0.05,0.18,0.07,0.26,0,0.25,0.3,0.02,0.2,0.21,0.08,0,0.13,0.05,0.02,0.03,0.1,0.02,0.1,0.12,0.07,0.03,0.04,0.25,0.21,0.04,0.08,0.1,0.28,0.07,0.04,0.1,0.08,-0.01,0.12,0.18,0.08,0.11,0.24,0.06,0.27,0.18,0.04,0.06,0.22,0.24,0.33,0.2,0.32,0.24,0.11,0.07,0.16
irritating,0.05,0.04,0.08,0.12,0.02,-0.01,0.1,0.14,0.08,0.09,0.06,0.14,0.06,0.27,0.1,0.16,0.13,0.17,0.19,-0.03,0.09,-0.01,0.11,0.44,0.12,0.19,0.08,0.06,0.22,1,0.27,0.16,0.13,0.01,0.07,0.09,0.07,0.12,0.15,0.04,0.08,0.13,0.13,0.07,0.09,0.17,0.03,0.01,0.14,0.11,0.02,0.04,0.13,0.09,0.09,0.18,0.11,0.11,0.08,0.1,0.02,0,0.22,0.14,0.01,0.12,0.04,0.11,0.02,0,0.03,0.06,-0.03,0.08,0.06,0.16,0.04,0.02,0.04,0.11,0.09,-0.06,0,0.14,0.15,0.05,0.07,0.17,0.18,0.01,0.03,0.06,0.08,0.13,0.05,0.08,0.11,0.02,0.05,0.11
