Document,turnoff,pest,loser,captive,worthless,cynic,traitor,distress,jerk,selfish,bastard,disappointment,insulting,unwanted,gloom,filth,dull,lazy,failure,untrustworthy,stress,prick,terrible,pollution,alone,inadequate,regret,bitterness,mess,irritating,garbage,annoying,irresponsible,stinky,unwelcome,phony,degenerate,heartbroken,reject,hesitation,sad,insecure,awkward,hypocrite,shame,anxiety,disaster,dropout,disgrace,scoundrel,grumpy,hardship,sloppy,creep,defect,slimy,embarrassed,overwhelmed,fraud,vermin,unforgivable,quitter,undesirable,burden,repulsive,slob,uninvited,menace,unemployed,maggot,liar,terrified,vagrant,incapable,emptiness,disgusting,outcast,gross,negligent,nauseous,parasite,hater,unfaithful,incompetent,unbearable,boring,inferior,rude,headache,copycat,tense,unlucky,idiot,fool,lunatic,miserable,pity,coward,immoral,dummy
burden,0.01,0.02,0.12,0.29,0.16,0.1,0.21,0.31,0.13,0.21,0.09,0.29,0.12,0.15,0.26,0.19,0.19,0.18,0.4,0.04,0.12,0.18,0.28,0.06,0.27,0.3,0.23,0.28,0.1,0.14,0.1,0.12,0.21,0.02,0.33,0.14,0.18,0.05,0.21,0.14,0.15,0.18,0.17,0.11,0.3,0.18,0.3,0.07,0.23,0.19,-0.02,0.42,0.08,0.15,0.12,0.01,0.13,0.23,0.14,0.22,0.07,0.03,0.18,1,0.07,0.03,0.11,0.31,0.26,0.03,0.09,0.25,0.16,0.16,0.24,0.08,0.24,0.34,0.04,0.01,0.02,0,0.04,0.23,0.21,0.09,0.25,0.19,0.06,-0.03,0.06,0.19,0.19,0.21,0.15,0.27,0.28,0.26,0.17,0.1
repulsive,-0.05,0.02,0.09,0.03,0,0.05,0.04,0.06,0.06,0.05,0.07,0.03,0.02,-0.01,0.02,0.09,0.1,0.06,0.01,0.06,0.04,0.01,0.05,0,0.11,0.02,0.03,0.05,0.02,0.01,0.03,0.07,0.04,0,0,0.08,0.01,0.02,0.01,0.02,0.07,0.07,0.04,0.09,0.04,0.03,0.04,0.01,0.07,-0.01,-0.01,0.03,-0.07,0.05,0.02,0,0.02,0,0.05,0.03,0,0.09,0.07,0.07,1,-0.01,0.05,-0.02,0.03,0.02,0.1,0.07,0.01,0.04,0,0.06,-0.01,0.01,-0.03,-0.01,0.02,0.19,-0.03,0.03,0,0,0.05,0.04,0.02,0,-0.03,0.08,0.05,0.09,0.06,0.05,0.04,0.08,0.05,0.06
slob,0.07,0.02,0.03,0.07,0.04,0.02,0.05,0.04,-0.02,0.18,0.09,0.05,0.08,0.07,0.07,0.04,0.07,0.05,0.08,-0.07,-0.04,0.04,0.12,0.05,0.15,0.08,0.06,0.04,0.1,0.12,0.02,0.03,-0.01,0.09,0.16,0.07,0.07,0.14,0.08,0.1,0.03,0,0.11,0.03,0.09,0.01,0.03,0.02,0.04,-0.01,0.03,0.01,0.03,0.12,0.12,0.02,0.11,0.03,0,-0.01,0.04,0.08,0.08,0.03,-0.01,1,0.17,0.09,-0.03,-0.04,0.16,0.09,0.08,0.11,0.02,0.05,0.17,0.03,-0.03,-0.01,0.03,0.07,0.12,0.02,0.01,0.04,0.03,0.03,0,0.02,0.01,0.05,0.02,0.12,0.02,0.04,0.17,0.06,0.14,-0.02
uninvited,0.01,0.05,0.05,0.11,0.05,0.01,-0.09,0.03,0.07,0.08,0.22,0.09,0.08,0.08,0.18,0.09,0.11,0.08,0.06,0.14,-0.03,-0.01,0.14,0.01,0.22,0.02,0.06,0.1,0.12,0.04,0.09,0.05,0.03,0.05,0.03,0.09,0.11,0.07,0.09,0.05,0.02,0.06,0.11,0.12,0.13,0.03,0.1,0,0.07,0.02,0,0.05,0.04,0.2,0.05,0.04,0.09,0.16,0.04,0.18,0,0.13,0.02,0.11,0.05,0.17,1,0.06,0,-0.01,0.11,0.12,0.11,0.18,0.12,0.1,0.15,0,0.09,0.06,0.04,-0.01,0.01,0,0.12,0.11,0.06,0.06,0.01,-0.02,0.11,0.03,0.08,0.08,0.15,0.16,0.08,0.05,0.12,0.07
menace,0,0.12,0.08,0.31,0.22,0.02,0.27,0.32,0.1,0.17,0.06,0.25,0.23,0.16,0.19,0.21,0.11,0.04,0.32,0.04,0.05,0.17,0.31,0.05,0.18,0.25,0.29,0.31,0.07,0.11,0.04,0.06,0.36,0.02,0.09,0.17,0.1,0,0.21,0.23,0,0.16,0.1,0.1,0.21,0.15,0.48,0.13,0.27,0.21,0.03,0.31,0.06,0.15,0.1,0.05,0.12,0.32,0.11,0.14,0.09,0.09,0.13,0.31,-0.02,0.09,0.06,1,0.31,0.02,0.02,0.24,0.21,0.27,0.14,0.12,0.1,0.06,0.07,-0.03,0.07,0.04,0.05,0.24,0.18,0.04,0.23,0.15,0.07,0.04,0.11,0.15,0.07,0.13,0.08,0.17,0.17,0.12,0.23,0.08
unemployed,0.03,0.02,0.02,0.08,0.01,0,0.1,0.24,0.04,0.05,0,0.14,0.09,0.09,0.05,0.07,0.03,0.04,0.16,0.03,0.1,0.06,0.13,0.02,0.06,0.29,0.08,0.17,0.03,0.02,0.05,0.03,0.12,-0.06,0.09,0.12,0.05,0.09,0.04,-0.01,0.04,0.08,0.03,0.08,0.1,0.11,0.3,0.27,0.02,0.02,0.01,0.51,0,0.04,0.09,0,-0.02,0.16,0.03,0.13,-0.02,-0.08,0.08,0.26,0.03,-0.03,0,0.31,1,0.05,0.04,0.08,0.04,0.07,0.03,0.02,0.03,0.18,0.03,0.06,0.02,0.02,-0.01,0.07,0.07,0.07,0.08,0.02,0.05,0.01,0.04,0.04,0.04,0.03,0.08,0.06,0.1,0.01,0.01,0.06
maggot,0,0.04,-0.06,0.05,0.11,0.03,0.01,-0.02,0.06,-0.01,0.09,0,0.06,0.15,-0.02,0.13,-0.03,0.01,-0.01,-0.03,-0.01,0.1,0.13,-0.02,0.08,0.03,0.03,0.06,0.04,0,0.08,0.1,0.01,0.1,-0.01,0.04,0.08,0.03,0.12,0.07,-0.04,-0.03,-0.03,-0.06,0.05,-0.01,0.1,0,0,-0.07,-0.05,0.02,-0.09,-0.01,0.1,0.04,-0.02,0.03,0.01,0.03,0.1,-0.02,0.01,0.03,0.02,-0.04,-0.01,0.02,0.05,1,0.09,0.07,-0.05,0,0.08,-0.01,0.08,-0.03,0,0.02,0.14,-0.06,0.06,0.04,0.01,0.05,0.06,0.04,0.05,-0.05,0,0.04,0.02,0.07,0.15,0,0.07,0.05,0.03,0.11
liar,0.07,0.11,0.11,0.15,0.06,0.06,0.09,0.08,0.18,0.1,0.28,0.24,0.12,0.07,0.11,0.18,0.18,0.23,0.09,0.2,-0.03,0,0.35,-0.01,0.32,-0.01,0.17,0.15,0.25,0.03,0.03,0.21,0.03,0.02,0.11,0.14,0.02,0.14,0.07,0.13,0.17,0.02,0.14,0.03,0.29,-0.01,0.1,-0.01,0.15,0.1,0.11,0.03,0.09,0.2,0.11,0.05,0.29,0.19,0.11,0.13,-0.01,0.06,0.04,0.09,0.1,0.16,0.11,0.02,0.04,0.09,1,0.31,0.08,0.13,0.11,0.16,0.15,0,0.07,0.08,-0.04,0.23,-0.03,0.01,0.25,0.25,0.12,0.18,0.12,0.12,0.01,0.13,0.23,0.4,0.19,0.37,0.2,0.3,0.14,0.09
terrified,0.12,0.03,0.1,0.4,0.07,0.11,0.22,0.36,0.24,0.17,0.24,0.35,0.2,0.09,0.48,0.22,0.26,0.29,0.08,0.16,0.04,0.19,0.54,0.01,0.49,0.07,0.26,0.19,0.21,0.06,0.04,0.22,0.03,0.16,0.02,0.15,0.03,0.14,-0.02,0.31,0.23,0.17,0.26,0.16,0.4,0.13,0.23,0.03,0.22,0.25,0.1,0.2,0.01,0.25,0.05,0.13,0.29,0.32,0.05,0.2,0.09,0.08,0.02,0.25,0.07,0.09,0.12,0.24,0.08,0.07,0.31,1,0.13,0.12,0.28,0.2,0.28,0.05,0.04,0.08,-0.01,0.08,0.18,0.05,0.37,0.15,0.11,0.34,0.1,0.06,0.06,0.24,0.31,0.37,0.29,0.46,0.46,0.37,0.07,0.23
vagrant,0.05,0,0.07,0.16,0.16,0.08,0.11,0.2,0.04,0.05,0.08,0.16,0.07,0.05,0.3,0.17,0.18,0.12,0.06,0.06,-0.04,0.14,0.14,0.04,0.17,0.07,0.19,0.13,0.04,-0.03,0.08,-0.02,0.07,-0.03,0.1,0.07,0.02,-0.05,0.11,0.2,0.07,0.07,0.02,0.17,0.28,0.06,0.09,0,0.25,0.31,0.08,0.14,-0.01,0.11,0.05,0.05,0.11,0.17,0.11,0.07,0.2,0.04,0.05,0.16,0.01,0.08,0.11,0.21,0.04,-0.05,0.08,0.13,1,0.14,0.07,0.12,0.04,0.03,0.13,-0.09,0.01,0.1,0.11,-0.01,0.16,0,0.1,0.23,-0.04,-0.08,0.03,0.17,0.09,0.16,0.2,0.18,0.22,0.2,0.11,0.1
incapable,-0.02,0.01,0.24,0.2,0.16,0,0.12,0.29,0.09,0.42,0.2,0.2,0.25,0.18,0.15,0.22,0.12,0.13,0.3,0.15,0.08,0.05,0.16,0,0.2,0.25,0.29,0.18,0.08,0.08,0,0.14,0.31,0.07,0.1,0.11,0.22,0.07,0.38,0.2,0.03,0.22,0.15,0.14,0.27,0.33,0.19,0.03,0.16,0.13,0.01,0.12,0.01,0.05,0.19,0.02,0.14,0.2,0.24,0.19,0.08,0.19,0.22,0.16,0.04,0.11,0.18,0.27,0.07,0,0.13,0.12,0.14,1,0.04,0.09,0.15,0.03,0.13,0.01,0.05,0.05,0.15,0.37,0.18,0.07,0.26,0.14,0.03,-0.01,0.07,0.15,0.18,0.13,0.18,0.22,0.2,0.13,0.34,0.1
emptiness,0.11,-0.02,0.06,0.31,0.12,0.06,0.04,0.14,0.18,0.11,0.07,0.3,0.11,0.07,0.39,0.13,0.28,0.23,0.14,0.05,0.02,0.16,0.26,0.01,0.34,0.1,0.19,0.21,0.1,0.06,-0.02,0.09,0.05,0.04,0.07,0.04,0.07,0.04,0.06,0.21,0.15,0.1,0.14,-0.02,0.1,0.17,0.17,0.04,0.19,0.14,0.05,0.12,-0.04,0.15,0.05,0.1,0.13,0.21,0.02,0.16,0.12,0.01,0.05,0.24,0,0.02,0.12,0.14,0.03,0.08,0.11,0.28,0.07,0.04,1,0.17,0.15,0.02,0,0.07,-0.01,-0.02,0.02,0,0.26,0.14,0.11,0.18,0.04,0.04,0.09,0.15,0.16,0.18,0.14,0.25,0.18,0.2,-0.02,0.07
disgusting,0.03,0.17,0.1,0.09,0.16,0.08,0.24,0.1,0.2,0.14,0.28,0.23,0.1,0.07,0.22,0.07,0.21,0.25,0.11,0.2,0,0.04,0.31,0,0.25,0.05,0.22,0.24,0.28,0.16,0.03,0.16,0.12,0.01,0.01,0.26,0.04,0.29,0,0.13,0.18,0.03,0.18,0.15,0.3,0.08,0.05,0.07,0.23,0.09,0.15,0.01,0.22,0.18,0.06,0.12,0.34,0.15,0.06,0.07,0.18,0.05,0.09,0.08,0.06,0.05,0.1,0.12,0.02,-0.01,0.16,0.2,0.12,0.09,0.17,1,0.12,0.04,0.02,0.02,0.01,0.17,0.16,0.05,0.17,0.25,0.06,0.32,0.07,0.28,0.01,0.25,0.21,0.41,0.14,0.33,0.26,0.07,0.13,0.22
outcast,0.11,0.01,0.08,0.29,0.04,0.06,0.08,0.14,0.16,0.12,0.22,0.13,0.13,0,0.31,0.15,0.24,0.18,0.1,-0.03,0.03,0.16,0.22,0.02,0.28,0.09,0.18,0.14,0.07,0.04,0.09,0.13,0.07,0.3,0.03,0.06,0.02,0.02,0.1,0.21,0.14,0.12,0.21,0.1,0.22,0.05,0.17,0.12,0.11,0.15,0.07,0.18,0.06,0.19,0,0.02,0.17,0.19,0.02,0.19,0.18,0.2,-0.02,0.24,-0.01,0.17,0.15,0.1,0.03,0.08,0.15,0.28,0.04,0.15,0.15,0.12,1,0.04,0.05,0.1,0.02,0.05,0.02,0.05,0.14,0.11,0.13,0.13,0.01,0.06,0.04,0.12,0.18,0.18,0.08,0.25,0.27,0.16,0.1,0.15
gross,0.06,0.02,0.11,0.06,0.05,0.03,0.08,0.06,0.01,0.03,0.04,0.09,0.01,0.09,0.03,0.11,0.04,0.04,0.22,-0.01,0.03,0.02,0.05,0.01,0.07,0.21,0.05,0.05,0.04,0.02,0.03,-0.03,-0.05,0.02,0.19,0.05,0.11,0.01,0.04,0.01,0.02,0.13,0.09,0.07,-0.01,0.04,0.1,0.07,0.05,0.01,0.01,0.23,0.05,0.07,0.03,0,0.02,0.12,0.1,0.01,0,0,0.04,0.34,0.01,0.03,0,0.06,0.18,-0.03,0,0.05,0.03,0.03,0.02,0.04,0.04,1,0.07,0.01,-0.01,0.01,0.04,0.07,0.05,0.02,0.05,0.03,0.02,0.01,0.03,0.04,0.07,0.01,0,0.04,0.04,0.04,0.07,0.08
negligent,0.12,0.09,0,0.07,0.01,0.05,0.08,0.04,0.21,0.02,0.19,0.04,0.08,0.1,0.01,0.07,0.07,0.06,0.21,0.05,0.01,0,0.05,0.02,0.13,0.1,0.07,0.06,0.1,0.04,0.07,0.03,0.06,-0.04,0.14,0.12,0.1,-0.04,0.08,0.13,0.03,0.09,0.08,0.07,0.07,0.03,0.12,0.05,0.17,-0.01,0.01,0.15,0.11,0.13,0.07,0.1,0.1,-0.02,0.25,0.09,0.06,0,0.04,0.04,-0.03,-0.03,0.09,0.07,0.03,0,0.07,0.04,0.13,0.13,0,0.02,0.05,0.07,1,0.08,0.07,0.07,0.02,0.09,0.14,0.06,0.08,0.08,0.01,-0.01,0.04,0.07,0.07,0.04,0.12,0.05,0.06,0.16,0.09,-0.01
nauseous,0,-0.01,0.09,0.04,0.1,0.02,0.09,0.15,0.05,0.06,0.13,0.16,-0.03,0.05,0.1,0.16,0.06,0.09,0.05,0.15,0.14,0.02,0.14,-0.02,0.13,0.11,0.04,0.06,0.08,0.11,0.02,0.19,0.07,0.12,0.03,0.03,0.01,0.04,0.02,0.1,0.09,0.16,0.11,0.01,0.12,0.2,0.04,0.06,-0.01,0.02,0.06,0.01,0.03,0.12,-0.03,-0.01,0.19,0.1,0.04,0.02,0.11,-0.07,-0.03,0.01,-0.01,-0.01,0.06,-0.03,0.06,0.02,0.08,0.08,-0.09,0.01,0.07,0.02,0.1,0.01,0.08,1,-0.06,0.03,0.13,0.11,0.01,0.12,0.02,0.1,0.33,0.07,0.04,0.06,0.17,0.18,0.01,0.23,0.12,0.04,-0.06,0.06
parasite,-0.03,0.24,0.08,0.05,0.01,0.03,0.05,0.07,0.02,0.03,0.06,0.03,-0.01,0.01,-0.01,0.02,0.02,-0.04,0.08,0,0.08,0.06,0.06,-0.05,0.04,0.08,-0.02,0.02,-0.01,0.09,0.01,0.02,0.04,-0.04,0,0.05,0.18,0.03,0.05,0,-0.01,0.08,0,0,0.01,0.05,0.08,0.01,0.04,0.03,0.02,0.08,0.02,0.06,0.07,0.34,0.02,0.03,0.03,0.1,0.03,-0.02,0.14,0.02,0.02,0.03,0.04,0.07,0.02,0.14,-0.04,-0.01,0.01,0.05,-0.01,0.01,0.02,-0.01,0.07,-0.06,1,0,0.02,0.08,0.04,0.12,0.01,-0.01,0.13,0.01,0.03,0.02,0.06,0,0.05,0.02,-0.02,-0.01,0.04,0.01
hater,-0.09,0.05,0.12,0.04,-0.02,0.1,0.17,0.09,0.06,0.05,0.14,0.06,0.02,-0.03,0,0.03,0.05,0.01,0.07,0.17,0,-0.01,0.15,0.01,0.17,-0.04,0.08,0.05,0.12,-0.06,0.05,0.05,0.08,-0.01,0,0.14,0.01,0.07,-0.01,0.08,0.03,0.05,0.15,0.02,0.04,0.01,0.18,0.07,0.13,-0.06,0.05,0.03,-0.02,0.12,0.02,0.07,0.12,0.05,0.01,-0.09,0.03,-0.09,0.05,0,0.19,0.07,-0.01,0.04,0.02,-0.06,0.23,0.08,0.1,0.05,-0.02,0.17,0.05,0.01,0.07,0.03,0,1,0.02,-0.02,0.08,-0.02,0.03,0,-0.01,-0.04,0.07,0.09,0.07,0.18,0.06,0.11,0,0.15,0.1,0.02
unfaithful,0.17,-0.04,0.04,0.02,0.08,-0.02,0.12,0.26,0.11,0.1,0.08,0.08,0.02,0.08,0.07,0.01,0.07,0.03,0.09,0.04,0.15,0.06,0.13,-0.01,0.09,0.15,0.05,0.04,0.18,0,0.04,0.25,0.09,0.12,0.11,0.13,0.02,0.18,0.1,0.07,0.04,0.11,0.09,0.06,0.18,0.33,0,0.02,-0.01,0.04,0.03,0.05,0.09,0.18,0.12,0.04,0.13,0.14,0.02,0.02,0.12,0.04,0.08,0.04,-0.03,0.12,0.01,0.05,-0.01,0.06,-0.03,0.18,0.11,0.15,0.02,0.16,0.02,0.04,0.02,0.13,0.02,0.02,1,0.06,0.02,0.08,0.02,0.08,0.15,-0.05,0.07,0.03,0.21,0.16,-0.01,0.11,0.16,-0.02,0.06,0.12
incompetent,-0.05,0.02,0.28,0.08,0.17,0.04,0.16,0.17,-0.01,0.22,0.05,0.14,0.02,0.06,0.08,0.06,0.08,0.08,0.41,0.03,0.08,0.11,0.09,0.03,0.13,0.28,0.17,0.19,0.08,0.14,0.05,0.17,0.38,0.1,0.23,0.11,0.24,0.01,0.39,0.09,0.03,0.22,0.1,-0.01,0.1,0.19,0.09,0.15,0.16,0.08,-0.04,0.02,0.14,0.08,0.18,-0.02,0.16,0.15,0.25,0.11,0.01,0.09,0.18,0.23,0.03,0.02,0,0.24,0.07,0.04,0.01,0.05,-0.01,0.37,0,0.05,0.05,0.07,0.09,0.11,0.08,-0.02,0.06,1,0.09,0.12,0.25,0.09,0.04,0.01,-0.01,0.03,0.06,0.09,0.03,0.12,0.06,0.03,0.15,0.08
unbearable,0.17,0.04,0.06,0.3,0.08,0.15,0.21,0.28,0.16,0.17,0.18,0.34,0.19,0.12,0.26,0.14,0.26,0.28,0.17,0.2,0.04,0.06,0.35,0.05,0.37,0.14,0.3,0.22,0.11,0.15,-0.03,0.15,0.12,0.02,0.09,0.14,0.15,0.18,0.13,0.26,0.13,0.18,0.23,0.05,0.25,0.15,0.24,-0.05,0.27,0.15,0.05,0.21,0.1,0.18,0.11,0.11,0.21,0.27,0.06,0.21,0.1,0.07,0.04,0.21,0,0.01,0.12,0.18,0.07,0.01,0.25,0.37,0.16,0.18,0.26,0.17,0.14,0.05,0.14,0.01,0.04,0.08,0.02,0.09,1,0.12,0.1,0.29,0.11,-0.02,0.02,0.16,0.23,0.24,0.25,0.37,0.35,0.24,0.12,0.15
boring,-0.02,0.2,0.11,0.08,0.1,0.02,0.07,0.11,0.13,0.11,0.21,0.22,0.12,0.1,0.15,-0.01,0.3,0.18,0.18,0.08,0.16,0.22,0.29,-0.03,0.33,0.13,0.09,0.1,0.24,0.05,0.07,0.21,0,0.16,0.1,0.07,0.08,0.15,0.13,0.09,0.18,0.1,0.12,0.09,0.12,0.1,0.11,0.18,0.05,0,0.29,0.09,0.17,0.15,0.07,0.13,0.33,0.1,0.02,0.04,0.08,0.08,0.12,0.09,0,0.04,0.11,0.04,0.07,0.05,0.25,0.15,0,0.07,0.14,0.25,0.11,0.02,0.06,0.12,0.12,-0.02,0.08,0.12,0.12,1,0.06,0.22,0.14,0.32,0.02,0.06,0.21,0.22,0.06,0.25,0.1,-0.02,0.04,0.16
inferior,0.04,-0.01,0.16,0.12,0.17,0.05,0.05,0.16,0.08,0.2,0.09,0.17,0.22,0.17,0.14,0.23,0.14,0.08,0.25,0.04,0.13,0.1,0.13,-0.01,0.19,0.21,0.23,0.22,0.06,0.07,-0.02,0.13,0.2,0.08,0.18,0.17,0.21,0.03,0.21,0.1,0.1,0.2,0.19,0.03,0.22,0.25,0.15,0.14,0.23,0.09,0.03,0.08,0.06,0.07,0.21,0.02,0.11,0.16,0.18,0.15,0.08,0.04,0.15,0.25,0.05,0.03,0.06,0.23,0.08,0.06,0.12,0.11,0.1,0.26,0.11,0.06,0.13,0.05,0.08,0.02,0.01,0.03,0.02,0.25,0.1,0.06,1,0.09,0.05,-0.01,0.08,0.07,0.1,0.1,0.04,0.17,0.15,0.16,0.21,0.09
rude,0.03,0.09,0.04,0.2,0.13,0.16,0.26,0.26,0.23,0.27,0.25,0.4,0.17,0.15,0.33,0.24,0.28,0.37,0.09,0.19,0.05,0.18,0.39,0.01,0.37,0.1,0.34,0.25,0.27,0.17,0.03,0.22,0.02,0.06,0.05,0.14,0.06,0.07,0.14,0.27,0.24,0.13,0.25,0.28,0.46,0.15,0.1,-0.02,0.3,0.28,0.19,0.13,0.16,0.17,0.02,0.05,0.41,0.12,0.01,0.19,0.31,0.01,0.13,0.19,0.04,0.03,0.06,0.15,0.02,0.04,0.18,0.34,0.23,0.14,0.18,0.32,0.13,0.03,0.08,0.1,-0.01,0,0.08,0.09,0.29,0.22,0.09,1,0.16,0.13,0.01,0.22,0.3,0.43,0.21,0.38,0.48,0.16,0.14,0.2
headache,0.03,0.06,0.11,0.03,0.08,0.07,0.06,0.28,0.07,0.1,0.09,0.19,0.03,0.12,0.1,0.14,0.16,0.17,0.21,0.03,0.45,0,0.19,-0.01,0.2,0.2,0.07,0.08,0.18,0.18,-0.04,0.29,0.02,0.04,0.07,0.09,0.08,0.05,0.06,0.09,0.24,0.14,0.18,0.07,0.14,0.39,0.11,0.05,0.07,0.03,0.06,0.06,0.02,0.06,0.2,0.07,0.19,0.1,0.08,0.14,0.09,-0.03,0.12,0.06,0.02,0,0.01,0.07,0.05,0.05,0.12,0.1,-0.04,0.03,0.04,0.07,0.01,0.02,0.01,0.33,0.13,-0.01,0.15,0.04,0.11,0.14,0.05,0.16,1,0.05,0.1,0.05,0.18,0.19,0.06,0.27,0.19,-0.02,-0.06,0.12
copycat,-0.02,0.43,0,-0.03,0.02,-0.02,0.03,0.02,0.04,0.04,0.05,0.12,0.02,0,0.03,-0.03,0.03,-0.04,0.02,-0.04,0.04,0.06,0.12,0.01,0.01,0,0.04,0.01,0.04,0.01,0.05,0.19,-0.03,0.03,-0.02,-0.05,-0.01,0.02,-0.02,-0.05,0.1,0.03,0.01,0.04,-0.02,0,0.01,0.18,0.03,0.01,0.21,0.01,0.02,0.02,-0.04,-0.03,0.18,0.04,0.02,-0.01,-0.09,0.03,0,-0.03,0,0.02,-0.02,0.04,0.01,-0.05,0.12,0.06,-0.08,-0.01,0.04,0.28,0.06,0.01,-0.01,0.07,0.01,-0.04,-0.05,0.01,-0.02,0.32,-0.01,0.13,0.05,1,0.01,-0.02,0.03,0.03,-0.04,0.1,0,0.01,-0.03,-0.01
tense,0.01,0.02,0.04,0.06,0.04,0.05,0.17,0.12,0.16,0.05,0.06,0.06,0.06,0.06,0.09,0.04,0.04,-0.03,0.07,-0.02,0.19,0.03,0.08,-0.01,0.08,0.03,0.1,0.07,0.06,0.03,-0.02,0.04,-0.01,0.05,0.04,0.08,0.07,0.01,0.03,0.09,0.1,0.07,0.22,0.05,0.09,0.15,0.1,0.03,0.16,0,0.08,0.03,0,0.07,0.08,0.07,0,-0.03,0.03,0.02,-0.01,0.01,0.04,0.06,-0.03,0.01,0.11,0.11,0.04,0,0.01,0.06,0.03,0.07,0.09,0.01,0.04,0.03,0.04,0.04,0.03,0.07,0.07,-0.01,0.02,0.02,0.08,0.01,0.1,0.01,1,0.02,0.06,0.03,-0.02,0.07,0.05,0.06,-0.04,0.06
unlucky,-0.03,0.05,0.14,0.16,0.15,0.21,0.2,0.27,0.13,0.23,0.3,0.26,0.17,0.08,0.27,0.2,0.13,0.23,0.05,0.09,-0.03,0.02,0.32,0,0.32,0.02,0.19,0.22,0.22,0.06,0,0.13,0.07,0.04,0.01,0.17,0.07,-0.03,0.02,0.2,0.28,0.1,0.1,0.28,0.37,0.05,0.11,-0.01,0.2,0.24,0.09,0.13,0.1,0.11,0.05,0.09,0.16,0.17,0.05,0.24,0.04,0.07,0.04,0.19,0.08,0.05,0.03,0.15,0.04,0.04,0.13,0.24,0.17,0.15,0.15,0.25,0.12,0.04,0.07,0.06,0.02,0.09,0.03,0.03,0.16,0.06,0.07,0.22,0.05,-0.02,0.02,1,0.23,0.36,0.28,0.27,0.45,0.32,0.06,0.05
idiot,0.15,0.06,0.12,0.28,0.15,0.12,0.15,0.28,0.29,0.22,0.22,0.33,0.19,0.06,0.25,0.17,0.29,0.28,0.15,0.14,0.09,0.13,0.26,0.02,0.41,0.16,0.34,0.25,0.24,0.08,0.06,0.22,0.05,0.17,0.05,0.14,0.2,0.18,0.04,0.3,0.18,0.11,0.21,0.17,0.39,0.15,0.1,0.02,0.11,0.2,0.06,0.15,0.06,0.21,0.23,0.04,0.26,0.13,0.07,0.17,0.2,0.05,0.08,0.19,0.05,0.02,0.08,0.07,0.04,0.02,0.23,0.31,0.09,0.18,0.16,0.21,0.18,0.07,0.07,0.17,0.06,0.07,0.21,0.06,0.23,0.21,0.1,0.3,0.18,0.03,0.06,0.23,1,0.47,0.29,0.38,0.38,0.2,0.11,0.16
fool,0.13,0.02,0.18,0.24,0.19,0.29,0.35,0.27,0.27,0.24,0.46,0.44,0.26,0.01,0.26,0.17,0.31,0.44,0.1,0.25,0.01,0.15,0.47,0.01,0.47,0.05,0.33,0.28,0.33,0.13,0.06,0.21,0.08,0.2,0.11,0.21,0.06,0.13,0.04,0.26,0.32,0.13,0.25,0.29,0.56,0.12,0.13,0.04,0.26,0.29,0.13,0.05,0.12,0.25,0.1,0.09,0.34,0.23,0.07,0.1,0.22,0.08,0.07,0.21,0.09,0.12,0.08,0.13,0.03,0.07,0.4,0.37,0.16,0.13,0.18,0.41,0.18,0.01,0.04,0.18,0,0.18,0.16,0.09,0.24,0.22,0.1,0.43,0.19,0.03,0.03,0.36,0.47,1,0.26,0.47,0.52,0.34,0.07,0.22
lunatic,0.01,-0.01,0.05,0.29,0.13,0.25,0.18,0.23,0.18,0.15,0.26,0.19,0.25,0.14,0.25,0.25,0.12,0.14,0.07,0.29,0,-0.02,0.21,0.01,0.34,0.13,0.31,0.14,0.2,0.05,0.1,0.02,0.07,0.09,0.01,0.08,0.12,0.09,0.08,0.41,0.09,0.05,0.16,0.16,0.36,0.05,0.1,0.03,0.25,0.34,-0.03,0.12,0.05,0.06,0.1,0.01,0.24,0.17,0.01,0.18,0.05,0.06,0.04,0.15,0.06,0.02,0.15,0.08,0.08,0.15,0.19,0.29,0.2,0.18,0.14,0.14,0.08,0,0.12,0.01,0.05,0.06,-0.01,0.03,0.25,0.06,0.04,0.21,0.06,-0.04,-0.02,0.28,0.29,0.26,1,0.27,0.36,0.26,0.07,0.08
miserable,0.06,0.06,0.12,0.26,0.16,0.15,0.21,0.41,0.25,0.44,0.37,0.57,0.23,0.08,0.44,0.25,0.39,0.43,0.22,0.31,0.13,0.17,0.59,-0.01,0.51,0.13,0.43,0.26,0.32,0.08,0.02,0.26,0.16,0.11,0.1,0.21,0.14,0.11,0.14,0.3,0.44,0.29,0.31,0.18,0.58,0.29,0.22,0,0.36,0.28,0.19,0.17,0.23,0.18,0.05,0.16,0.51,0.28,0.06,0.31,0.12,0.01,0.09,0.27,0.05,0.04,0.16,0.17,0.06,0,0.37,0.46,0.18,0.22,0.25,0.33,0.25,0.04,0.05,0.23,0.02,0.11,0.11,0.12,0.37,0.25,0.17,0.38,0.27,0.1,0.07,0.27,0.38,0.47,0.27,1,0.5,0.38,0.1,0.28
