,Word,MeanValence,ValenceStand,MeanArousal,val,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
218,dependable,7.24,2.76,3.5,1,10,85,1.86,,adj,,,
219,devoted,7.16,2.84,4.22,1,7,409,1.88,,adj,,,
220,dreamer,7.45,2.55,4.4,1,7,155,2.19,507,noun,,,
221,dynamo,6.21,3.79,5.18,1,6,26,2.71,,noun,,,
222,easygoing,7.03,,3.2,1,9,22,1.59,,adj,,,
223,enchantment,6.8,3.2,5.29,1,11,29,1.63,,noun,,,
224,energetic,7.57,2.43,6.1,1,9,66,2.83,,adj,,,
225,enjoyable,7.63,2.37,4.77,1,9,99,2.04,,adj,,,
226,entertainer,6.48,3.52,6.15,1,11,84,4.17,,noun,,,
227,enthusiasm,7.14,2.86,4.18,1,10,229,2.34,464,noun,,,
228,enthusiastic,7.55,2.45,5.9,1,12,142,2.76,,adj,,,
229,esteem,6.38,3.62,3.91,1,6,86,1.83,,noun,,,
230,excellence,7.87,,5.3,1,10,134,2.2,,noun,,,
231,excellent,7.56,,5.15,1,9,2688,2.11,,adj,,,
232,excited,8.11,1.89,6.43,1,7,2479,2.32,,adj,,,
233,expert,6.74,3.26,4.05,1,6,1128,2.85,,noun,,,
234,extraordinary,7.45,2.55,4.22,1,13,771,2.13,,adj,,,
235,favor,6.67,3.33,4.61,1,5,3609,2.07,,noun,,,
236,favorite,7.39,2.61,4.4,1,8,3032,2.71,,noun,,,
237,focus,6.48,3.52,4.45,1,5,1499,2.35,,noun,,,
238,fondness,7.68,2.32,3.55,1,8,26,1.66,,noun,,,
239,friend,6.79,3.21,4.29,1,6,21384,3.07,587,noun,,,
240,friendly,7.84,2.16,4.27,1,8,1328,2.32,,adj,,,
241,fun,8.37,1.63,6.32,1,3,12010,1.79,,noun,,,
242,funny,7.59,,5.38,1,5,11127,2.5,,adj,,,
243,generous,7.43,2.57,5.7,1,8,852,2.25,,adj,,,
244,genius,7.52,2.48,6.2,1,6,1773,3,456,noun,,,
245,gentle,7.42,2.58,3.17,1,6,844,2.1,,adj,,,
246,giggle,7.95,2.05,5.39,1,6,87,3.72,,noun,,,
247,goodwill,6.47,3.53,4.95,1,8,167,2.54,,noun,,,
248,graceful,6.95,3.05,4,1,8,118,2.37,,adj,,,
249,grateful,7.5,2.5,4.29,1,5,1355,1.78,,adj,,,
250,happy,8.47,,6.05,1,5,16993,2.56,,adj,,,
251,healer,7.38,2.62,3.95,1,6,84,3.52,,noun,,,
252,healthy,7.76,,4.19,1,7,1262,3.31,,adj,,,
253,heir,6.29,3.71,4,1,4,266,3.21,394,noun,,,
254,helper,6.71,3.29,3.22,1,6,103,3.39,,noun,,,
255,helpful,7.43,2.57,3.88,1,7,619,1.76,,adj,,,
256,honest,8.16,,4,1,6,3689,1.66,,adj,,,
257,hopeful,7.44,,4.84,1,7,152,1.7,,adj,,,
258,hostess,6.7,3.3,4.18,1,7,189,4.12,,noun,,,
259,hugger,6.81,3.19,4.8,1,6,21,4.14,,noun,,,
260,humorous,7.81,,5.33,1,8,75,2.23,,adj,,,
261,idealist,6.55,3.45,4.19,1,8,34,1.52,,noun,,,
262,importance,6.39,3.61,4.15,1,10,390,1.75,347,noun,,,
263,innocence,6.73,3.27,3.65,1,9,336,1.89,383,noun,,,
264,insight,6.76,3.24,3.96,1,7,143,1.72,329,noun,,,
265,intellectual,7.65,2.35,4.53,1,12,234,1.81,,noun,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
267,joy,8.21,1.79,5.55,1,3,1456,2.37,533,noun,,,
268,kinship,7.53,2.47,4.65,1,7,22,2.21,,noun,,,
269,kisser,7.33,2.67,5.85,1,6,174,3.7,,noun,,,
270,learner,6.4,3.6,4.23,1,7,61,3.28,,noun,,,
271,legend,6.86,3.14,5.13,1,6,875,2.96,,noun,,,
272,longevity,6.57,3.43,4.75,1,9,28,1.9,,noun,,,
273,lovable,8.26,1.74,5.41,1,7,91,1.97,,adj,,,
274,lover,8.05,1.95,7.45,1,5,1358,3.68,,noun,,,
275,lucky,7.32,2.68,5.3,1,5,7316,1.76,,adj,,,
276,mentor,7.05,2.95,3.5,1,6,178,3.7,,noun,,,
278,mercy,6.4,3.6,3.67,1,5,1291,1.57,373,noun,,,
279,merit,6.94,3.06,3.16,1,5,173,1.66,380,noun,,,
280,newlywed,6.9,3.1,6.32,1,8,22,3.81,,noun,,,
281,nourishment,7.44,2.56,3.1,1,11,62,2.97,,noun,,,
282,openness,6.52,3.48,4.37,1,8,20,1.9,,noun,,,
283,optimist,7.19,2.81,4.43,1,8,78,1.9,,noun,,,
284,partner,7.11,2.89,3.7,1,7,3836,3.53,513,noun,,,
285,passion,7.53,,6.08,1,7,1008,2.3,,adj,,,
286,pay,6.23,3.77,4.24,1,3,12985,3.54,,noun,,,
287,peaceful,8,,4.38,1,8,573,2.27,,adj,,,
288,pedigree,6.33,3.67,4.09,1,8,39,2.79,,noun,,,
289,perfect,7.19,2.81,4.71,1,7,8091,1.69,404,noun,,,
290,perseverance,6.33,3.67,3.41,1,12,37,1.92,,noun,,,
291,philanthropist,6.57,3.43,4.17,1,14,45,2.93,,noun,,,
292,pizzazz,6.79,3.21,5.95,1,7,29,1.8,,noun,,,
293,pleased,7.82,,4.25,1,7,1455,2.37,,adj,,,
294,pleasure,7.8,2.2,6.8,1,8,4118,2.04,511,noun,,,
295,positive,7.57,2.43,5.5,1,8,1613,2.44,,adj,,,
296,precision,6.38,3.62,3.91,1,9,150,2.41,,noun,,,
297,prize,8,2,5.5,1,5,1142,4.45,517,noun,,,
298,productive,7.37,,4.6,1,10,123,2.64,,adj,,,
299,proficiency,6.79,3.21,3.86,1,11,21,1.96,,noun,,,
300,progress,6.58,3.42,3.82,1,8,1084,2.12,,noun,,,
301,radiant,7.29,2.71,5.03,1,7,110,2.45,,adj,,,
302,rapport,6.26,3.74,3.73,1,7,32,1.84,,noun,,,
303,recognition,6.68,3.32,4.45,1,11,233,2.39,388,noun,,,
304,relaxed,7.25,,2.49,1,7,356,2.5,,adj,,,
305,respect,6.79,3.21,4.79,1,7,3644,2.04,343,noun,,,
306,respectful,7.45,,3.32,1,10,97,2.19,,adj,,,
307,romantic,7.61,2.39,5.12,1,8,1794,1.93,,noun,,,
308,safe,7.7,,3.14,1,4,7303,3.41,,adj,,,
309,safety,7.14,2.86,3.8,1,6,1649,2.37,397,noun,,,
310,saint,6.4,3.6,3.48,1,5,914,3.45,394,noun,,,
311,satisfied,7.16,,3.95,1,9,791,2.07,,adj,,,
312,seeker,6.33,3.67,4.95,1,6,47,3.44,,noun,,,
313,significance,6.21,3.79,4,1,12,178,1.68,,noun,,,
314,skilled,7.05,,5,1,7,121,1.96,,adj,,,
315,smart,7.73,2.27,3.81,1,5,4909,1.75,,adj,,,
316,smiley,7.58,,5.09,1,6,109,3.93,,adj,,,
317,sophistication,6.71,3.29,5.8,1,14,49,1.92,,noun,,,
318,special,7.5,,3.48,1,7,7577,1.76,,adj,,,
319,spectacular,7.5,,6.65,1,11,289,1.82,,adj,,,
320,spirited,7.57,2.43,5.21,1,8,62,1.67,,adj,,,
321,spontaneity,6.45,3.55,5.57,1,11,42,1.7,,noun,,,
322,sportsmanship,6.3,3.7,5.14,1,13,28,1.97,,noun,,,
323,success,7.49,2.51,5.8,1,7,1390,2.21,443,noun,,,
324,sweetheart,7.84,2.16,5.39,1,10,3272,2.79,443,noun,,,
325,sympathy,6.57,3.43,3.08,1,8,426,1.88,402,noun,,,
326,talented,7.95,2.05,4.55,1,8,581,2.04,,adj,,,
327,thinker,7.26,2.74,4.45,1,7,60,2.54,405,noun,,,
328,thoughtful,7.26,,2.55,1,10,398,1.96,,adj,,,
329,tolerance,6.43,3.57,3.36,1,9,130,2.11,,noun,,,
330,traveler,6.39,3.61,4.75,1,8,154,4.07,,noun,,,
331,trustworthy,7.25,,4.22,1,11,94,2.39,,adj,,,
332,unique,7.32,2.68,4,1,6,696,1.89,,adj,,,
333,unity,6.67,3.33,4.8,1,5,138,2.23,,noun,,,
334,upbeat,7.14,,4.92,1,6,56,1.93,,adj,,,
335,useful,7.1,2.9,3.83,1,6,669,2.14,,adj,,,
336,valedictorian,6.32,3.68,4.43,1,13,63,3.93,,noun,,,
337,value,7.18,2.82,5.79,1,5,1097,1.62,289,noun,,,
338,vibrant,7.37,2.63,5.96,1,7,52,2.38,,adj,,,
339,virtue,6.7,3.3,4.55,1,6,263,1.62,351,noun,,,
340,visionary,6.6,3.4,4.48,1,9,66,2.48,,noun,,,
341,volunteer,7.35,2.65,3.95,1,9,475,3.77,,noun,,,
342,warmth,7.53,2.47,4.33,1,6,227,3.39,551,noun,,,
343,wealth,7.33,2.67,5.24,1,6,324,2.63,500,noun,,,
344,wellness,7.67,2.33,4.56,1,8,21,2,,noun,,,
345,willingness,6.43,3.57,4.25,1,11,68,1.81,,noun,,,
346,winner,7.86,2.14,6.53,1,6,1592,3.21,,noun,,,
347,wise,7.42,,4.46,1,4,1452,1.97,,adj,,,
348,witty,7.25,2.75,5.65,1,5,163,2.21,,adj,,,
349,zest,6.76,3.24,5.41,1,4,35,2.27,,noun,,,
